Unnamed: 0,Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR,NOAA Station,Link,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Snow Station,River Basin,Mar_SP,Mar_WC,Mar_Dens
0,2016,Soberanes Fire,132127.0,G,,,83.0,Jul,,Oct,287.0,36.45994,-121.89938,Monterey,27,CA,,USW00023259,USW00023259 2016-07-01 00:00:00,6.5,0.0,0.0,0.0,0.0,58.8,65.2,52.4,14.11,21.42,0.0,1.0,0,,,0,0,0
1,2016,Erskine Fire,48019.0,G,,,18.0,Jun,,Jul,193.0,35.6115,-118.45628,Kern,15,CA,,USW00023155,USW00023155 2016-06-01 00:00:00,6.7,529.0,0.0,22.0,0.0,82.6,96.6,68.6,4.68,4.880000000000001,15.0,4.0,1,mineral_king,Kaweah,36.0,16.0,0.44
2,2016,Chimney Fire,46344.0,G,,,24.0,Aug,,Sep,250.0,35.70595,-120.98316,San Luis Obispo,40,CA,,USW00093209,USW00093209 2016-08-01 00:00:00,6.9,237.0,0.0,23.0,0.0,72.6,92.6,52.6,2.52,8.09,43.0,0.0,0,,,0,0,0
3,2016,Blue Cut Fire,36274.0,G,,,7.0,Aug,,Aug,236.0,34.30372,-117.49342,San Bernardino,36,CA,,USW00003102,USW00003102 2016-08-01 00:00:00,6.5,455.0,0.0,28.0,0.0,79.7,94.6,64.7,3.41,6.45,43.0,0.0,0,,,0,0,0
4,2016,Gap Fire,33867.0,G,,,1.0,Aug,,Aug,241.0,41.851,-123.118,Siskiyou,47,CA,,USW00024283,USW00024283 2016-08-01 00:00:00,4.5,0.0,0.0,0.0,0.02,56.4,62.9,49.9,18.03,54.17,0.0,2.0,1,parks_creek,Shasta,77.0,34.0,0.44
5,2016,Rey Fire ,32606.0,G,,,28.0,Aug,,Sep,259.0,0.0,0.0,Santa Barbara,42,CA,,USW00023154,USW00023154 2016-08-01 00:00:00,8.9,67.0,2.0,9.0,0.33,66.4,87.6,45.2,6.08,10.28,26.0,3.0,0,,,0,0,0
6,2016,Cedar Fire,29322.0,G,,,46.0,Aug,,Oct,275.0,35.7506,-118.5678,Kern,15,CA,,USW00023155,USW00023155 2016-08-01 00:00:00,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0,1,mineral_king,Kaweah,36.0,16.0,0.44
7,2016,Canyon Fire,12518.0,G,,,10.0,Sep,,Sep,271.0,34.63445,-120.54421,Santa Barbara,42,CA,,USW00023273,USW00023273 2016-09-01 00:00:00,6.3,53.0,0.0,3.0,0.0,64.1,76.2,52.0,3.84,8.76,0.0,0.0,0,,,0,0,0
8,2016,Pilot Fire,8110.0,G,,,9.0,Aug,,Aug,229.0,34.28771,-117.27338,San Bernardino,36,CA,,USW00003102,USW00003102 2016-08-01 00:00:00,6.5,455.0,0.0,28.0,0.0,79.7,94.6,64.7,3.41,6.45,43.0,0.0,0,,,0,0,0
9,2016,Border Fire,7609.0,G,,,11.0,Jun,,Jun,182.0,32.60729,-116.63028,San Diego,37,CA,,USW00003164,USW00003164 2016-06-01 00:00:00,8.3,216.0,0.0,18.0,0.0,71.2,91.5,50.9,7.629999999999999,9.31,1.0,5.0,0,,,0,0,0
10,2016,Sherpa Fire,7474.0,G,,,27.0,Jun,,Jul,194.0,34.776,-119.643,Santa Barbara,42,CA,,USW00023190,USW00023190 2016-06-01 00:00:00,5.6,19.0,0.0,0.0,0.01,63.1,71.0,55.3,9.62,10.189999999999998,0.0,2.0,0,,,0,0,0
11,2016,Mineral Fire,7050.0,G,,,9.0,Aug,,Aug,231.0,36.09974,-120.51057,Fresno,10,CA,,USW00093209,USW00093209 2016-08-01 00:00:00,6.9,237.0,0.0,23.0,0.0,72.6,92.6,52.6,2.52,8.09,43.0,0.0,1,big_meadows,Kings,42.0,23.0,0.55
